"raceid","year","grand_prix","country","driverid","driver","laptimes","constructor_name"
62,2006,"United States Grand Prix","USA",30,"Michael Schumacher","00:01:12.719","Ferrari"
63,2006,"French Grand Prix","France",30,"Michael Schumacher","00:01:17.111","Ferrari"
64,2006,"German Grand Prix","Germany",30,"Michael Schumacher","00:01:16.357","Ferrari"
69,2006,"Japanese Grand Prix","Japan",4,"Fernando Alonso","00:01:32.676","Renault"
36,2007,"Australian Grand Prix","Australia",8,"Kimi Räikkönen","00:01:25.235","Ferrari"
38,2007,"Bahrain Grand Prix","Bahrain",13,"Felipe Massa","00:01:34.067","Ferrari"
39,2007,"Spanish Grand Prix","Spain",13,"Felipe Massa","00:01:22.68","Ferrari"
40,2007,"Monaco Grand Prix","Monaco",4,"Fernando Alonso","00:01:15.284","McLaren"
44,2007,"British Grand Prix","UK",8,"Kimi Räikkönen","00:01:20.638","Ferrari"
48,2007,"Italian Grand Prix","Italy",4,"Fernando Alonso","00:01:22.871","McLaren"
50,2007,"Japanese Grand Prix","Japan",1,"Lewis Hamilton","00:01:28.193","McLaren"
52,2007,"Brazilian Grand Prix","Brazil",8,"Kimi Räikkönen","00:01:12.445","Ferrari"
21,2008,"Spanish Grand Prix","Spain",8,"Kimi Räikkönen","00:01:21.67","Ferrari"
29,2008,"European Grand Prix","Spain",13,"Felipe Massa","00:01:38.708","Ferrari"
34,2008,"Chinese Grand Prix","China",1,"Lewis Hamilton","00:01:36.325","McLaren"
35,2008,"Brazilian Grand Prix","Brazil",13,"Felipe Massa","00:01:13.736","Ferrari"
2,2009,"Malaysian Grand Prix","Malaysia",18,"Jenson Button","00:01:36.641","Brawn"
7,2009,"Turkish Grand Prix","Turkey",18,"Jenson Button","00:01:27.579","Brawn"
8,2009,"British Grand Prix","UK",20,"Sebastian Vettel","00:01:20.735","Red Bull"
16,2009,"Brazilian Grand Prix","Brazil",17,"Mark Webber","00:01:13.733","Red Bull"
17,2009,"Abu Dhabi Grand Prix","UAE",20,"Sebastian Vettel","00:01:40.279","Red Bull"
337,2010,"Bahrain Grand Prix","Bahrain",4,"Fernando Alonso","00:01:58.287","Ferrari"
349,2010,"Belgian Grand Prix","Belgium",1,"Lewis Hamilton","00:01:49.069","McLaren"
350,2010,"Italian Grand Prix","Italy",4,"Fernando Alonso","00:01:24.139","Ferrari"
351,2010,"Singapore Grand Prix","Singapore",4,"Fernando Alonso","00:01:47.976","Ferrari"
353,2010,"Korean Grand Prix","Korea",4,"Fernando Alonso","00:01:50.257","Ferrari"
847,2011,"Canadian Grand Prix","Canada",18,"Jenson Button","00:01:16.956","McLaren"
848,2011,"European Grand Prix","Spain",20,"Sebastian Vettel","00:01:41.852","Red Bull"
849,2011,"British Grand Prix","UK",4,"Fernando Alonso","00:01:33.391","Ferrari"
