"raceid","year","grand_prix","country","driverid","driver","nationality"
546,1977,"United States Grand Prix West","USA",207,"Mario Andretti","USA"
552,1977,"British Grand Prix","UK",231,"James Hunt","UK"
542,1978,"Canadian Grand Prix","Canada",203,"Gilles Villeneuve","Canada"
519,1979,"French Grand Prix","France",219,"Jean-Pierre Jabouille","France"
490,1981,"French Grand Prix","France",117,"Alain Prost","France"
491,1981,"British Grand Prix","UK",187,"John Watson","UK"
477,1982,"French Grand Prix","France",163,"René Arnoux","France"
452,1983,"Brazilian Grand Prix","Brazil",137,"Nelson Piquet","Brazil"
454,1983,"French Grand Prix","France",117,"Alain Prost","France"
447,1984,"Austrian Grand Prix","Austria",182,"Niki Lauda","Austria"
422,1985,"San Marino Grand Prix","Italy",173,"Elio de Angelis","Italy"
433,1985,"European Grand Prix","UK",95,"Nigel Mansell","UK"
404,1986,"Brazilian Grand Prix","Brazil",137,"Nelson Piquet","Brazil"
412,1986,"British Grand Prix","UK",95,"Nigel Mansell","UK"
394,1987,"British Grand Prix","UK",95,"Nigel Mansell","UK"
378,1988,"French Grand Prix","France",117,"Alain Prost","France"
362,1989,"French Grand Prix","France",117,"Alain Prost","France"
323,1990,"San Marino Grand Prix","Italy",119,"Riccardo Patrese","Italy"
327,1990,"French Grand Prix","France",117,"Alain Prost","France"
306,1991,"Brazilian Grand Prix","Brazil",102,"Ayrton Senna","Brazil"
312,1991,"British Grand Prix","UK",95,"Nigel Mansell","UK"
297,1992,"British Grand Prix","UK",95,"Nigel Mansell","UK"
274,1993,"Brazilian Grand Prix","Brazil",102,"Ayrton Senna","Brazil"
280,1993,"French Grand Prix","France",117,"Alain Prost","France"
264,1994,"British Grand Prix","UK",71,"Damon Hill","UK"
247,1995,"British Grand Prix","UK",65,"Johnny Herbert","UK"
248,1995,"German Grand Prix","Germany",30,"Michael Schumacher","Germany"
253,1995,"European Grand Prix","Germany",30,"Michael Schumacher","Germany"
182,1999,"British Grand Prix","UK",14,"David Coulthard","UK"
161,2000,"British Grand Prix","UK",14,"David Coulthard","UK"
163,2000,"European Grand Prix","Germany",30,"Michael Schumacher","Germany"
149,2001,"European Grand Prix","Germany",30,"Michael Schumacher","Germany"
152,2001,"German Grand Prix","Germany",23,"Ralf Schumacher","Germany"
135,2002,"German Grand Prix","Germany",30,"Michael Schumacher","Germany"
116,2003,"European Grand Prix","Germany",23,"Ralf Schumacher","Germany"
96,2004,"European Grand Prix","Germany",30,"Michael Schumacher","Germany"
101,2004,"German Grand Prix","Germany",30,"Michael Schumacher","Germany"
57,2006,"European Grand Prix","Germany",30,"Michael Schumacher","Germany"
58,2006,"Spanish Grand Prix","Spain",4,"Fernando Alonso","Spain"
64,2006,"German Grand Prix","Germany",30,"Michael Schumacher","Germany"
70,2006,"Brazilian Grand Prix","Brazil",13,"Felipe Massa","Brazil"
26,2008,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
35,2008,"Brazilian Grand Prix","Brazil",13,"Felipe Massa","Brazil"
867,2012,"European Grand Prix","Spain",4,"Fernando Alonso","Spain"
884,2013,"Spanish Grand Prix","Spain",4,"Fernando Alonso","Spain"
888,2013,"German Grand Prix","Germany",20,"Sebastian Vettel","Germany"
908,2014,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
909,2014,"German Grand Prix","Germany",3,"Nico Rosberg","Germany"
934,2015,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
957,2016,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
978,2017,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
1019,2019,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
1034,2020,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
1061,2021,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
1064,2021,"Dutch Grand Prix","Netherlands",830,"Max Verstappen","Netherlands"
1088,2022,"Dutch Grand Prix","Netherlands",830,"Max Verstappen","Netherlands"
1111,2023,"Dutch Grand Prix","Netherlands",830,"Max Verstappen","Netherlands"
1128,2024,"Monaco Grand Prix","Monaco",844,"Charles Leclerc","Monaco"
1132,2024,"British Grand Prix","UK",1,"Lewis Hamilton","UK"
